# wavelength 	 flux_density
9.253070000000000164e+02 8.052230000000001000e+15
9.255370000000000346e+02 8.044030000000000000e+15
9.257680000000000291e+02 7.797080000000000000e+15
9.259990000000000236e+02 7.631140000000000000e+15
9.262300000000000182e+02 7.893940000000001000e+15
9.264610000000000127e+02 8.056340000000001000e+15
9.266920000000000073e+02 8.148350000000001000e+15
9.269230000000000018e+02 8.276670000000000000e+15
9.271539999999999964e+02 8.211110000000001000e+15
9.273849999999999909e+02 8.088600000000000000e+15
9.276159999999999854e+02 8.169590000000000000e+15
9.278469999999999800e+02 8.211350000000001000e+15
9.280769999999999982e+02 8.003580000000000000e+15
9.283079999999999927e+02 7.947560000000000000e+15
9.285389999999999873e+02 8.063540000000000000e+15
9.287699999999999818e+02 8.109370000000001000e+15
9.290009999999999764e+02 7.876040000000001000e+15
9.292319999999999709e+02 7.812230000000000000e+15
9.294630000000000791e+02 8.004390000000001000e+15
9.296940000000000737e+02 7.992700000000001000e+15
9.299249999999999545e+02 7.826670000000000000e+15
9.301549999999999727e+02 7.947340000000000000e+15
9.303860000000000809e+02 8.118240000000000000e+15
9.306170000000000755e+02 8.127460000000000000e+15
9.308479999999999563e+02 7.970090000000000000e+15
9.310789999999999509e+02 7.922260000000000000e+15
9.313099999999999454e+02 7.940440000000000000e+15
9.315409999999999400e+02 7.979590000000000000e+15
9.317720000000000482e+02 7.984580000000001000e+15
9.320019999999999527e+02 7.916470000000000000e+15
9.322329999999999472e+02 8.011700000000001000e+15
9.324639999999999418e+02 7.993780000000000000e+15
9.326950000000000500e+02 7.908820000000001000e+15
9.329260000000000446e+02 7.946650000000000000e+15
9.331570000000000391e+02 8.006110000000000000e+15
9.333869999999999436e+02 8.094400000000001000e+15
9.336179999999999382e+02 7.909070000000000000e+15
9.338490000000000464e+02 7.903510000000000000e+15
9.340800000000000409e+02 7.989550000000001000e+15
9.343110000000000355e+02 8.028860000000000000e+15
9.345420000000000300e+02 8.049810000000000000e+15
9.347720000000000482e+02 7.911980000000000000e+15
9.350030000000000427e+02 7.951180000000000000e+15
9.350869999999999891e+02 7.956590000000001000e+15
9.353590000000000373e+02 7.871780000000000000e+15
9.356299999999999955e+02 7.902710000000001000e+15
9.359020000000000437e+02 7.761300000000001000e+15
9.361739999999999782e+02 7.760800000000000000e+15
9.364449999999999363e+02 7.844560000000001000e+15
9.367169999999999845e+02 7.934650000000000000e+15
9.369889999999999191e+02 7.952030000000001000e+15
9.372599999999999909e+02 7.823120000000001000e+15
9.375320000000000391e+02 7.774480000000000000e+15
9.378039999999999736e+02 7.871590000000000000e+15
9.380750000000000455e+02 7.898810000000001000e+15
9.383470000000000937e+02 7.727180000000000000e+15
9.386179999999999382e+02 7.700990000000000000e+15
9.388899999999999864e+02 7.756860000000001000e+15
9.391610000000000582e+02 7.821920000000001000e+15
9.394329999999999927e+02 7.772000000000001000e+15
9.397050000000000409e+02 7.734000000000000000e+15
9.399759999999999991e+02 7.764470000000001000e+15
9.402479999999999336e+02 7.772810000000000000e+15
9.405190000000000055e+02 7.701200000000001000e+15
9.407910000000000537e+02 7.470900000000000000e+15
9.410619999999998981e+02 7.411030000000000000e+15
9.413340000000000600e+02 7.334610000000000000e+15
9.416050000000000182e+02 7.062870000000001000e+15
9.418769999999999527e+02 7.165840000000000000e+15
9.421480000000000246e+02 7.504430000000000000e+15
9.424200000000000728e+02 7.660280000000000000e+15
9.426909999999999172e+02 7.690600000000000000e+15
9.429629999999999654e+02 7.680020000000000000e+15
9.432340000000000373e+02 7.540410000000000000e+15
9.435059999999999718e+02 7.435430000000000000e+15
9.437769999999999300e+02 7.563130000000001000e+15
9.440489999999999782e+02 7.482470000000001000e+15
9.443200000000000500e+02 7.494590000000000000e+15
9.445910000000000082e+02 7.613730000000000000e+15
9.448630000000000564e+02 7.518960000000001000e+15
9.451340000000000146e+02 7.531580000000000000e+15
